query_id	subject_id	percent_identity	alignment_length	matches
dual_43	amp_7353	100.0	13	13.0
dual_44	amp_7354	100.0	13	13.0
dual_44	amp_7570	92.31	14	12.0
dual_44	amp_7571	92.31	14	12.0
dual_44	amp_8618	92.31	14	12.0
dual_45	amp_7355	100.0	13	13.0
dual_46	amp_7356	100.0	9	9.0
dual_47	amp_7357	100.0	10	10.0
dual_48	amp_7358	100.0	27	27.0
dual_49	amp_7359	100.0	20	20.0
dual_50	amp_7360	100.0	19	19.0
dual_51	amp_7361	100.0	24	24.0
dual_52	amp_7362	100.0	22	22.0
dual_53	amp_7363	100.0	4	4.0
dual_54	amp_7364	100.0	2	2.0
dual_55	amp_7365	100.0	25	25.0
dual_56	amp_7366	100.0	25	25.0
dual_57	amp_7367	100.0	25	25.0
dual_58	amp_7368	100.0	25	25.0
dual_59	amp_7369	100.0	25	25.0
dual_60	amp_7370	100.0	24	24.0
dual_61	amp_7371	100.0	25	25.0
dual_62	amp_7372	100.0	28	28.0
dual_63	amp_7373	100.0	13	13.0
dual_64	amp_7374	100.0	11	11.0
dual_65	amp_7375	100.0	27	27.0
dual_65	amp_7376	92.59	29	25.0
dual_66	amp_7375	92.59	29	25.0
dual_66	amp_7376	100.0	27	27.0
dual_67	amp_7377	100.0	27	27.0
dual_67	amp_9697	96.3	28	26.0
dual_68	amp_7378	100.0	27	27.0
dual_69	amp_7379	100.0	27	27.0
dual_70	amp_7380	100.0	3	3.0
dual_74	amp_3989	93.33	16	14.0
dual_75	amp_7385	100.0	5	5.0
dual_76	amp_7386	100.0	2	2.0
dual_76	amp_7387	100.0	2	2.0
dual_76	amp_7388	100.0	2	2.0
dual_76	amp_7389	100.0	2	2.0
dual_76	amp_7390	100.0	2	2.0
dual_76	amp_7391	100.0	2	2.0
dual_76	amp_7392	100.0	2	2.0
dual_76	amp_7393	100.0	2	2.0
dual_76	amp_7394	100.0	2	2.0
dual_77	amp_7395	100.0	3	3.0
dual_77	amp_7396	100.0	3	3.0
dual_77	amp_7397	100.0	3	3.0
dual_77	amp_7398	100.0	3	3.0
dual_78	amp_7399	100.0	5	5.0
dual_78	amp_7400	100.0	5	5.0
dual_78	amp_7401	100.0	5	5.0
dual_78	amp_7402	100.0	5	5.0
dual_78	amp_7403	100.0	5	5.0
dual_78	amp_7404	100.0	5	5.0
dual_78	amp_10055	100.0	5	5.0
dual_78	amp_10056	100.0	5	5.0
dual_78	amp_10057	100.0	5	5.0
dual_79	amp_7405	100.0	6	6.0
dual_80	amp_606	95.83	25	23.0
dual_80	amp_7406	100.0	24	24.0
dual_81	amp_7407	100.0	11	11.0
dual_82	amp_7408	100.0	11	11.0
dual_83	amp_7409	100.0	24	24.0
dual_84	amp_7410	100.0	24	24.0
dual_85	amp_7411	100.0	23	23.0
dual_85	amp_7596	95.65	24	22.0
dual_86	amp_4920	96.3	28	26.0
dual_86	amp_4921	92.59	29	25.0
dual_86	amp_7412	100.0	27	27.0
dual_86	amp_7413	100.0	27	27.0
dual_86	amp_7414	100.0	27	27.0
dual_86	amp_7415	100.0	27	27.0
dual_86	amp_7595	96.3	28	26.0
dual_86	amp_7597	92.59	29	25.0
dual_86	amp_10464	92.59	29	25.0
dual_87	amp_7416	100.0	23	23.0
dual_88	amp_777	100.0	10	10.0
dual_88	amp_1105	90.0	11	9.0
dual_90	amp_7419	100.0	18	18.0
dual_91	amp_7420	100.0	22	22.0
dual_92	amp_7421	100.0	22	22.0
dual_93	amp_7422	100.0	12	12.0
dual_94	amp_7423	100.0	22	22.0
dual_95	amp_7424	100.0	13	13.0
dual_96	amp_7425	100.0	28	28.0
dual_96	amp_9763	96.55	29	28.0
dual_96	amp_9764	92.86	30	26.0
dual_96	amp_10117	92.86	29	26.0
dual_97	amp_7426	100.0	10	10.0
dual_98	amp_7427	100.0	14	14.0
dual_98	amp_10828	93.33	15	14.0
dual_98	amp_10830	92.86	15	13.0
dual_99	amp_7428	100.0	15	15.0
dual_100	amp_7429	100.0	12	12.0
dual_101	amp_7430	100.0	12	12.0
dual_102	amp_6761	95.24	22	20.0
dual_102	amp_7302	90.48	23	19.0
dual_102	amp_7431	100.0	21	21.0
dual_102	amp_7488	90.48	23	19.0
dual_102	amp_7491	90.48	23	19.0
dual_103	amp_772	92.86	15	13.0
dual_103	amp_1289	92.86	15	13.0
dual_103	amp_7432	100.0	14	14.0
dual_104	amp_857	96.43	29	27.0
dual_104	amp_7433	100.0	28	28.0
dual_105	amp_7434	100.0	23	23.0
dual_106	amp_7435	100.0	25	25.0
dual_107	amp_852	96.15	27	25.0
dual_107	amp_3376	92.31	28	24.0
dual_107	amp_7436	100.0	26	26.0
dual_107	amp_7437	92.31	28	24.0
dual_107	amp_7438	92.31	28	24.0
dual_107	amp_7553	96.15	27	25.0
dual_108	amp_852	96.15	27	25.0
dual_108	amp_3376	92.31	28	24.0
dual_108	amp_7436	92.31	28	24.0
dual_108	amp_7437	100.0	26	26.0
dual_108	amp_7438	92.31	28	24.0
dual_108	amp_7553	92.31	28	24.0
dual_109	amp_852	96.15	27	25.0
dual_109	amp_3376	92.31	28	24.0
dual_109	amp_7436	92.31	28	24.0
dual_109	amp_7437	92.31	28	24.0
dual_109	amp_7438	100.0	26	26.0
dual_109	amp_7553	92.31	28	24.0
dual_110	amp_7439	100.0	71	71.0
dual_111	amp_7440	100.0	25	25.0
dual_111	amp_7441	100.0	25	25.0
dual_111	amp_7442	100.0	25	25.0
dual_111	amp_7443	100.0	25	25.0
dual_112	amp_7444	100.0	25	25.0
dual_113	amp_7445	100.0	12	12.0
dual_113	amp_10161	91.67	13	11.0
dual_114	amp_7446	100.0	9	9.0
dual_115	amp_7447	100.0	13	13.0
dual_115	amp_10160	92.31	14	12.0
dual_116	amp_7448	100.0	10	10.0
dual_116	amp_10164	90.0	11	9.0
dual_117	amp_7449	100.0	11	11.0
dual_117	amp_10162	90.91	12	10.0
dual_118	amp_7450	100.0	9	9.0
dual_119	amp_4486	92.31	28	24.0
dual_119	amp_4500	92.31	28	24.0
dual_119	amp_7451	100.0	26	26.0
dual_119	amp_7452	92.31	28	24.0
dual_119	amp_7453	96.15	27	25.0
dual_119	amp_7456	96.15	27	25.0
dual_120	amp_4486	92.31	28	24.0
dual_120	amp_4500	92.31	28	24.0
dual_120	amp_7451	92.31	28	24.0
dual_120	amp_7452	100.0	26	26.0
dual_120	amp_7453	96.15	27	25.0
dual_120	amp_7454	96.15	27	25.0
dual_120	amp_7455	96.15	27	25.0
dual_120	amp_9749	96.15	27	25.0
dual_120	amp_9750	96.15	27	25.0
dual_121	amp_4486	96.15	27	25.0
dual_121	amp_4487	92.31	28	24.0
dual_121	amp_4488	92.31	28	24.0
dual_121	amp_4489	92.31	28	24.0
dual_121	amp_4491	92.31	28	24.0
dual_121	amp_4492	92.31	28	24.0
dual_121	amp_4493	92.31	28	24.0
dual_121	amp_4494	92.31	28	24.0
dual_121	amp_4495	92.31	28	24.0
dual_121	amp_4496	92.31	28	24.0
dual_121	amp_4497	92.31	28	24.0
dual_121	amp_4498	92.31	28	24.0
dual_121	amp_4499	92.31	28	24.0
dual_121	amp_4500	96.15	27	25.0
dual_121	amp_4509	92.31	28	24.0
dual_121	amp_7451	96.15	27	25.0
dual_121	amp_7452	96.15	27	25.0
dual_121	amp_7453	100.0	26	26.0
dual_121	amp_7454	92.31	28	24.0
dual_121	amp_7455	92.31	28	24.0
dual_121	amp_7456	92.31	28	24.0
dual_121	amp_7690	92.31	28	24.0
dual_121	amp_9749	92.31	28	24.0
dual_121	amp_9750	92.31	28	24.0
dual_121	amp_9782	92.31	28	24.0
dual_121	amp_9786	92.31	28	24.0
dual_122	amp_4486	96.15	27	25.0
dual_122	amp_4487	92.31	28	24.0
dual_122	amp_4488	92.31	28	24.0
dual_122	amp_4489	92.31	28	24.0
dual_122	amp_4491	92.31	28	24.0
dual_122	amp_4492	92.31	28	24.0
dual_122	amp_4493	92.31	28	24.0
dual_122	amp_4494	92.31	28	24.0
dual_122	amp_4495	92.31	28	24.0
dual_122	amp_4496	92.31	28	24.0
dual_122	amp_4497	92.31	28	24.0
dual_122	amp_4498	92.31	28	24.0
dual_122	amp_4499	92.31	28	24.0
dual_122	amp_4500	96.15	27	25.0
dual_122	amp_4509	92.31	28	24.0
dual_122	amp_7452	96.15	27	25.0
dual_122	amp_7453	92.31	28	24.0
dual_122	amp_7454	100.0	26	26.0
dual_122	amp_7455	100.0	26	26.0
dual_122	amp_7456	92.31	28	24.0
dual_122	amp_7690	92.31	28	24.0
dual_122	amp_9749	100.0	26	26.0
dual_122	amp_9750	100.0	26	26.0
dual_122	amp_9782	92.31	28	24.0
dual_122	amp_9786	92.31	28	24.0
dual_123	amp_4486	96.15	27	25.0
dual_123	amp_4487	92.31	28	24.0
dual_123	amp_4488	92.31	28	24.0
dual_123	amp_4489	92.31	28	24.0
dual_123	amp_4491	92.31	28	24.0
dual_123	amp_4492	92.31	28	24.0
dual_123	amp_4493	92.31	28	24.0
dual_123	amp_4494	92.31	28	24.0
dual_123	amp_4495	92.31	28	24.0
dual_123	amp_4496	92.31	28	24.0
dual_123	amp_4497	92.31	28	24.0
dual_123	amp_4498	92.31	28	24.0
dual_123	amp_4499	92.31	28	24.0
dual_123	amp_4500	96.15	27	25.0
dual_123	amp_4509	92.31	28	24.0
dual_123	amp_7451	96.15	27	25.0
dual_123	amp_7453	92.31	28	24.0
dual_123	amp_7454	92.31	28	24.0
dual_123	amp_7455	92.31	28	24.0
dual_123	amp_7456	100.0	26	26.0
dual_123	amp_7690	92.31	28	24.0
dual_123	amp_9749	92.31	28	24.0
dual_123	amp_9750	92.31	28	24.0
dual_123	amp_9782	92.31	28	24.0
dual_123	amp_9786	92.31	28	24.0
dual_124	amp_7457	90.62	35	29.0
dual_125	amp_7458	100.0	19	19.0
dual_125	amp_7460	94.74	20	18.0
dual_125	amp_8929	94.74	20	18.0
dual_126	amp_7459	100.0	19	19.0
dual_126	amp_7460	94.74	20	18.0
dual_126	amp_8929	94.74	20	18.0
dual_127	amp_7458	94.74	20	18.0
dual_127	amp_7459	94.74	20	18.0
dual_127	amp_7460	100.0	19	19.0
dual_128	amp_7461	100.0	12	12.0
dual_128	amp_7462	100.0	12	12.0
dual_128	amp_10466	100.0	12	12.0
dual_128	amp_10467	100.0	12	12.0
dual_129	amp_7463	100.0	12	12.0
dual_130	amp_7464	100.0	12	12.0
dual_131	amp_7465	100.0	12	12.0
dual_131	amp_7471	91.67	13	11.0
dual_132	amp_7466	100.0	12	12.0
dual_132	amp_7467	91.67	13	11.0
dual_132	amp_7471	91.67	13	11.0
dual_133	amp_7466	91.67	13	11.0
dual_133	amp_7467	100.0	12	12.0
dual_133	amp_7471	91.67	13	11.0
dual_134	amp_7468	100.0	12	12.0
dual_134	amp_7469	91.67	13	11.0
dual_134	amp_7471	91.67	13	11.0
dual_135	amp_7468	91.67	13	11.0
dual_135	amp_7469	100.0	12	12.0
dual_135	amp_7470	91.67	13	11.0
dual_135	amp_7471	91.67	13	11.0
dual_136	amp_7469	91.67	13	11.0
dual_136	amp_7470	100.0	12	12.0
dual_136	amp_7471	91.67	13	11.0
dual_137	amp_7465	91.67	13	11.0
dual_137	amp_7466	91.67	13	11.0
dual_137	amp_7467	91.67	13	11.0
dual_137	amp_7468	91.67	13	11.0
dual_137	amp_7469	91.67	13	11.0
dual_137	amp_7470	91.67	13	11.0
dual_137	amp_7471	100.0	12	12.0
dual_138	amp_7472	100.0	9	9.0
dual_139	amp_7473	100.0	9	9.0
dual_139	amp_7474	100.0	9	9.0
dual_139	amp_7475	100.0	9	9.0
dual_139	amp_8815	100.0	9	9.0
dual_139	amp_8816	100.0	9	9.0
dual_139	amp_8817	100.0	9	9.0
dual_139	amp_8818	100.0	9	9.0
dual_139	amp_8819	100.0	9	9.0
dual_139	amp_8820	100.0	9	9.0
dual_140	amp_51	93.33	32	28.0
dual_140	amp_52	93.33	32	28.0
dual_140	amp_1625	93.33	32	28.0
dual_140	amp_1986	90.0	33	27.0
dual_140	amp_1992	96.67	31	29.0
dual_140	amp_2006	93.33	32	28.0
dual_140	amp_7476	100.0	30	30.0
dual_141	amp_7477	100.0	31	31.0
dual_142	amp_7478	100.0	9	9.0
dual_143	amp_7479	100.0	15	15.0
dual_144	amp_7480	100.0	10	10.0
dual_145	amp_7481	100.0	11	11.0
dual_145	amp_7580	90.91	11	10.0
dual_146	amp_7482	100.0	16	16.0
dual_147	amp_7483	100.0	21	21.0
dual_148	amp_7484	100.0	20	20.0
dual_148	amp_10286	95.24	21	20.0
dual_149	amp_7485	100.0	21	21.0
dual_149	amp_10286	90.48	23	19.0
dual_150	amp_7486	100.0	21	21.0
dual_151	amp_6761	90.48	23	19.0
dual_151	amp_7487	100.0	21	21.0
dual_151	amp_7490	90.48	23	19.0
dual_151	amp_7491	90.48	23	19.0
dual_151	amp_10282	90.48	23	19.0
dual_151	amp_10283	90.48	23	19.0
dual_152	amp_7431	90.48	23	19.0
dual_152	amp_7488	100.0	21	21.0
dual_152	amp_10283	95.24	22	20.0
dual_152	amp_10285	95.24	22	20.0
dual_153	amp_7489	100.0	22	22.0
dual_153	amp_7492	90.91	23	20.0
dual_153	amp_10282	95.45	22	21.0
dual_154	amp_6761	90.48	23	19.0
dual_154	amp_7302	95.24	22	20.0
dual_154	amp_7487	90.48	23	19.0
dual_154	amp_7490	100.0	21	21.0
dual_154	amp_10282	90.48	23	19.0
dual_154	amp_10284	90.48	23	19.0
dual_155	amp_6761	90.48	23	19.0
dual_155	amp_7431	90.48	23	19.0
dual_155	amp_7487	90.48	23	19.0
dual_155	amp_7491	100.0	21	21.0
dual_155	amp_7492	95.24	22	20.0
dual_155	amp_10281	95.24	22	20.0
dual_155	amp_10282	90.48	23	19.0
dual_155	amp_10283	90.48	23	19.0
dual_156	amp_7489	90.91	23	20.0
dual_156	amp_7491	95.24	22	20.0
dual_156	amp_7492	100.0	21	21.0
dual_156	amp_10281	90.48	23	19.0
dual_156	amp_10282	95.24	22	20.0
dual_157	amp_7493	100.0	21	21.0
dual_158	amp_7494	100.0	11	11.0
dual_159	amp_7495	100.0	21	21.0
dual_160	amp_7496	100.0	12	12.0
dual_161	amp_4845	92.31	14	12.0
dual_161	amp_7497	100.0	13	13.0
dual_161	amp_7522	92.31	14	12.0
dual_162	amp_4845	92.31	14	12.0
dual_162	amp_7498	100.0	13	13.0
dual_163	amp_4845	92.31	14	12.0
dual_163	amp_7499	100.0	13	13.0
dual_163	amp_7500	92.31	14	12.0
dual_163	amp_7502	92.31	14	12.0
dual_164	amp_4845	92.31	14	12.0
dual_164	amp_7499	92.31	14	12.0
dual_164	amp_7500	100.0	13	13.0
dual_164	amp_7502	92.31	14	12.0
dual_165	amp_4845	100.0	13	13.0
dual_165	amp_7497	92.31	14	12.0
dual_165	amp_7498	92.31	14	12.0
dual_165	amp_7499	92.31	14	12.0
dual_165	amp_7500	92.31	14	12.0
dual_165	amp_7502	92.31	14	12.0
dual_165	amp_7503	92.31	14	12.0
dual_165	amp_7504	92.31	14	12.0
dual_165	amp_7505	92.31	14	12.0
dual_165	amp_7508	92.31	14	12.0
dual_165	amp_7509	92.31	14	12.0
dual_165	amp_7522	92.31	14	12.0
dual_166	amp_4845	100.0	13	13.0
dual_166	amp_7497	92.31	14	12.0
dual_166	amp_7498	92.31	14	12.0
dual_166	amp_7499	92.31	14	12.0
dual_166	amp_7500	92.31	14	12.0
dual_166	amp_7502	92.31	14	12.0
dual_166	amp_7503	92.31	14	12.0
dual_166	amp_7504	92.31	14	12.0
dual_166	amp_7505	92.31	14	12.0
dual_166	amp_7508	92.31	14	12.0
dual_166	amp_7509	92.31	14	12.0
dual_166	amp_7522	92.31	14	12.0
dual_167	amp_4845	100.0	13	13.0
dual_167	amp_7497	92.31	14	12.0
dual_167	amp_7498	92.31	14	12.0
dual_167	amp_7499	92.31	14	12.0
dual_167	amp_7500	92.31	14	12.0
dual_167	amp_7502	92.31	14	12.0
dual_167	amp_7503	92.31	14	12.0
dual_167	amp_7504	92.31	14	12.0
dual_167	amp_7505	92.31	14	12.0
dual_167	amp_7508	92.31	14	12.0
dual_167	amp_7509	92.31	14	12.0
dual_167	amp_7522	92.31	14	12.0
dual_168	amp_4845	100.0	13	13.0
dual_168	amp_7497	92.31	14	12.0
dual_168	amp_7498	92.31	14	12.0
dual_168	amp_7499	92.31	14	12.0
dual_168	amp_7500	92.31	14	12.0
dual_168	amp_7502	92.31	14	12.0
dual_168	amp_7503	92.31	14	12.0
dual_168	amp_7504	92.31	14	12.0
dual_168	amp_7505	92.31	14	12.0
dual_168	amp_7508	92.31	14	12.0
dual_168	amp_7509	92.31	14	12.0
dual_168	amp_7522	92.31	14	12.0
dual_169	amp_4845	100.0	13	13.0
dual_169	amp_7497	92.31	14	12.0
dual_169	amp_7498	92.31	14	12.0
dual_169	amp_7499	92.31	14	12.0
dual_169	amp_7500	92.31	14	12.0
dual_169	amp_7502	92.31	14	12.0
dual_169	amp_7503	92.31	14	12.0
dual_169	amp_7504	92.31	14	12.0
dual_169	amp_7505	92.31	14	12.0
dual_169	amp_7508	92.31	14	12.0
dual_169	amp_7509	92.31	14	12.0
dual_169	amp_7522	92.31	14	12.0
dual_170	amp_7506	100.0	13	13.0
dual_171	amp_7507	100.0	13	13.0
dual_172	amp_4845	92.31	14	12.0
dual_172	amp_7508	92.31	14	12.0
dual_172	amp_7509	100.0	13	13.0
dual_173	amp_4845	92.31	14	12.0
dual_173	amp_7508	92.31	14	12.0
dual_173	amp_7509	100.0	13	13.0
dual_174	amp_4696	91.67	13	11.0
dual_174	amp_7510	100.0	12	12.0
dual_174	amp_8283	91.67	13	11.0
dual_175	amp_7511	100.0	12	12.0
dual_175	amp_7512	91.67	13	11.0
dual_175	amp_8289	91.67	13	11.0
dual_175	amp_8291	91.67	13	11.0
dual_176	amp_7511	91.67	13	11.0
dual_176	amp_7512	100.0	12	12.0
dual_176	amp_8290	91.67	13	11.0
dual_176	amp_8292	91.67	13	11.0
dual_177	amp_4696	91.67	13	11.0
dual_177	amp_7513	100.0	12	12.0
dual_177	amp_7514	91.67	13	11.0
dual_177	amp_7515	91.67	13	11.0
dual_178	amp_4696	91.67	13	11.0
dual_178	amp_7513	91.67	13	11.0
dual_178	amp_7514	100.0	12	12.0
dual_179	amp_4696	91.67	13	11.0
dual_179	amp_7513	91.67	13	11.0
dual_179	amp_7515	100.0	12	12.0
dual_179	amp_8288	91.67	13	11.0
dual_180	amp_7516	100.0	12	12.0
dual_181	amp_7517	100.0	17	17.0
dual_182	amp_4695	91.67	13	11.0
dual_182	amp_7518	100.0	12	12.0
dual_182	amp_8289	91.67	13	11.0
dual_183	amp_7519	100.0	15	15.0
dual_184	amp_3223	93.33	16	14.0
dual_184	amp_4557	93.33	16	14.0
dual_184	amp_4561	93.33	16	14.0
dual_184	amp_4562	93.33	16	14.0
dual_184	amp_7520	100.0	15	15.0
dual_184	amp_7521	93.33	16	14.0
dual_184	amp_7523	93.33	16	14.0
dual_185	amp_4559	93.33	16	14.0
dual_185	amp_7520	93.33	16	14.0
dual_185	amp_7521	100.0	15	15.0
dual_186	amp_4845	92.31	14	12.0
dual_186	amp_7497	92.31	14	12.0
dual_186	amp_7522	100.0	13	13.0
dual_187	amp_3223	93.33	16	14.0
dual_187	amp_4557	93.33	16	14.0
dual_187	amp_4561	93.33	16	14.0
dual_187	amp_4562	93.33	16	14.0
dual_187	amp_7520	93.33	16	14.0
dual_187	amp_7523	100.0	15	15.0
dual_188	amp_7524	100.0	15	15.0
dual_188	amp_7525	93.33	16	14.0
dual_188	amp_7531	93.33	16	14.0
dual_189	amp_7524	93.33	16	14.0
dual_189	amp_7525	100.0	15	15.0
dual_189	amp_7531	93.33	16	14.0
dual_190	amp_7526	100.0	15	15.0
dual_191	amp_3223	93.75	16	15.0
dual_191	amp_4561	93.75	16	15.0
dual_191	amp_4562	93.75	16	15.0
dual_191	amp_7527	100.0	16	16.0
dual_192	amp_3222	93.33	16	14.0
dual_192	amp_3223	100.0	15	15.0
dual_192	amp_4557	93.33	16	14.0
dual_192	amp_4558	93.33	16	14.0
dual_192	amp_4559	93.33	16	14.0
dual_192	amp_4560	93.33	16	14.0
dual_192	amp_4561	100.0	15	15.0
dual_192	amp_4562	100.0	15	15.0
dual_192	amp_7520	93.33	16	14.0
dual_192	amp_7523	93.33	16	14.0
dual_192	amp_7527	93.75	16	15.0
dual_192	amp_7530	93.33	16	14.0
dual_192	amp_7536	93.33	16	14.0
dual_193	amp_4550	93.33	16	14.0
dual_193	amp_4558	93.33	16	14.0
dual_193	amp_7529	100.0	15	15.0
dual_194	amp_3223	93.33	16	14.0
dual_194	amp_4561	93.33	16	14.0
dual_194	amp_4562	93.33	16	14.0
dual_194	amp_7530	100.0	15	15.0
dual_195	amp_7524	93.33	16	14.0
dual_195	amp_7525	93.33	16	14.0
dual_195	amp_7531	100.0	15	15.0
dual_196	amp_7524	93.33	16	14.0
dual_196	amp_7525	93.33	16	14.0
dual_196	amp_7531	100.0	15	15.0
dual_197	amp_7533	100.0	15	15.0
dual_198	amp_7534	100.0	15	15.0
